feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio,skewness
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.21278626258156777,1.2501262762024998,0.21104053604378034,0.22540983606557377,0.7745901639344263,2.6233040404823518
gradient_glcm_Imc2,0.3070479766696741,1.0078062360361217,0.2065554081476322,0.4098360655737705,0.5901639344262295,1.3070923453995975
wavelet-HHH_glszm_LargeAreaEmphasis,0.27274702444214544,0.863982867859304,0.18391344180620414,0.29098360655737704,0.7090163934426229,1.3922189807990144
log-sigma-5-0-mm-3D_gldm_SmallDependenceEmphasis,0.12936950324584162,0.6103226366639137,0.1370098289240346,0.1762295081967213,0.8237704918032787,2.399074412960737
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.24644533261901033,0.6426532986387611,0.11437331966665619,0.3442622950819672,0.6557377049180327,1.191534754888803
wavelet-HLH_glcm_ClusterProminence,0.14346646845457145,0.8027257393486797,0.11072290135111591,0.5040983606557377,0.4959016393442623,2.6424580757244684
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.25936936091667906,0.6236738100275397,0.10708518351219588,0.36475409836065575,0.6352459016393442,0.7506234528713306
squareroot_glcm_Idmn,0.09457131800468874,0.6093706083483994,0.10326860165695638,0.6639344262295082,0.3360655737704918,2.462924927884304
wavelet-LLL_glcm_InverseVariance,0.15352643836765323,0.38120854578912255,0.10298086157990446,0.5081967213114754,0.4918032786885246,0.5054136373622146
original_firstorder_Mean,0.17570417803299967,0.3452430284395814,0.08413033037157902,0.3524590163934426,0.6475409836065574,0.7710509234325835
exponential_gldm_DependenceVariance,0.17423364339249411,0.40624500103294847,0.0810710367418335,0.32786885245901637,0.6721311475409836,0.9919321311378932
log-sigma-5-0-mm-3D_ngtdm_Coarseness,0.13289645993198496,0.3488795995339751,0.07994485709772091,0.3319672131147541,0.6680327868852459,1.1014206721948907
wavelet-HHH_glcm_SumSquares,0.07628032870158422,0.5098084089532494,0.07887127796770545,0.7418032786885246,0.2581967213114754,2.2261568909709055
square_gldm_DependenceNonUniformityNormalized,0.10463455568039107,0.3256252822652459,0.078612667862621,0.2786885245901639,0.7213114754098361,1.310357217083302
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.08000769676346735,0.39204286232590674,0.07470262195204429,0.14344262295081966,0.8565573770491803,2.396749293979438
square_firstorder_InterquartileRange,0.02282203587428596,0.4914119924604893,0.06930539280684368,0.05737704918032787,0.9426229508196722,5.3225535700086475
wavelet-LHL_glcm_Autocorrelation,0.02955077335956025,0.5009038192033768,0.06254036902273107,0.020491803278688523,0.9795081967213115,7.124629136622089
wavelet-HLL_firstorder_Kurtosis,0.025294254882772628,0.44003160640597344,0.059379784327041274,0.9508196721311475,0.04918032786885246,5.929714633541994
original_glszm_LargeAreaLowGrayLevelEmphasis,0.1517496713553174,0.3175923177972436,0.05579771974871345,0.5450819672131147,0.45491803278688525,0.35439444564851785
log-sigma-4-0-mm-3D_firstorder_Skewness,0.03879184326328735,0.3572513219341636,0.05299310654224189,0.7950819672131147,0.20491803278688525,3.341801599516054
log-sigma-1-0-mm-3D_firstorder_Minimum,0.02108738424954937,0.3345526060461998,0.05102681779554732,0.9139344262295082,0.0860655737704918,5.692216173841083
original_shape_Sphericity,0.029713557298470823,0.2624719477817416,0.04594166853735265,0.3975409836065574,0.6024590163934426,3.8132357526831826
log-sigma-5-0-mm-3D_firstorder_Minimum,0.07803821227627755,0.20611876633018256,0.04501164360914211,0.430327868852459,0.569672131147541,0.8495786605531144
original_glszm_ZoneEntropy,0.04628823436903536,0.18411898128688337,0.04212338590039268,0.5081967213114754,0.4918032786885246,1.9301515680398782
wavelet-HLL_glszm_GrayLevelVariance,0.055062686837446265,0.2740713573992252,0.04163889068095731,0.3360655737704918,0.6639344262295082,3.2855703434402286
wavelet-HHH_firstorder_Skewness,0.05392682064587984,0.1807612881809473,0.04115954517592033,0.2786885245901639,0.7213114754098361,1.2707029338011167
original_gldm_SmallDependenceEmphasis,0.027508525652543733,0.2798860243707895,0.039642295193749705,0.12295081967213115,0.8770491803278688,3.3431238177818927
log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.020779447938147625,0.2715510293841362,0.038745557825624895,0.7868852459016393,0.21311475409836064,4.594196509766008
profundidade,0.0256246090304778,0.19916601210832596,0.03684032284194431,0.8073770491803278,0.19262295081967212,3.5134605015050595
wavelet-HHL_firstorder_Median,0.08352826486597394,0.18370495039969684,0.03669828793491436,0.5737704918032787,0.4262295081967213,-0.22206755215242416
log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.029650436652152463,0.18419172763824462,0.03635993487366676,0.09016393442622951,0.9098360655737705,3.336868465811473
log-sigma-2-0-mm-3D_gldm_DependenceVariance,0.10057536509933834,0.33866291869431736,0.03554321390260144,0.5327868852459017,0.4672131147540984,4.733152864942349
wavelet-HHH_glszm_ZoneVariance,0.049631635358205875,0.11722495619207621,0.0347292104847919,0.23770491803278687,0.7622950819672131,1.2567921534600206
log-sigma-5-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.012289357872099699,0.26861518613994123,0.03384197822751824,0.05737704918032787,0.9426229508196722,5.987727416970464
squareroot_ngtdm_Coarseness,0.020665110917265726,0.18915803641080856,0.032397499842067454,0.680327868852459,0.319672131147541,3.591999350314725
wavelet-LLH_gldm_SmallDependenceEmphasis,0.02750405796729581,0.13927687607705594,0.03200473837685137,0.1598360655737705,0.8401639344262295,2.3770159436923257
log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.04650444487812083,0.13260518059134482,0.031738502026731105,0.30327868852459017,0.6967213114754098,1.4988568263847295
log-sigma-2-0-mm-3D_gldm_LargeDependenceEmphasis,0.022706068342887523,0.20085650339722633,0.03146670993816643,0.09016393442622951,0.9098360655737705,4.122492432928367
wavelet-LHL_glcm_InverseVariance,0.025824594598365606,0.22049895215779544,0.031103973587192926,0.6721311475409836,0.32786885245901637,2.682560311825584
wavelet-HLH_glszm_LargeAreaEmphasis,0.0327978713586773,0.11265272445976734,0.029886295438136885,0.1680327868852459,0.8319672131147541,2.06124022746897
wavelet-LHH_glcm_MCC,0.0415077697201708,0.09647284869104623,0.028526590005470878,0.3442622950819672,0.6557377049180327,1.1756650190278422
log-sigma-5-0-mm-3D_glszm_SmallAreaEmphasis,0.021194277968692825,0.11867021519690751,0.028506280561641027,0.13114754098360656,0.8688524590163934,2.731374263872873
wavelet-LLH_firstorder_Maximum,0.014104921257421072,0.17787648566067218,0.028232488836621807,0.8483606557377049,0.15163934426229508,4.222943716484545
lbp-3D-k_glszm_ZonePercentage,0.014474413315918273,0.1129115929827094,0.02663661860841105,0.1721311475409836,0.8278688524590164,3.0826294681305937
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.08512629353539587,0.14603088580071927,0.02627912288644954,0.5327868852459017,0.4672131147540984,-0.2299387147964716
original_glszm_SizeZoneNonUniformity,0.0580602952899017,0.10184169564396144,0.025843719346297356,0.3442622950819672,0.6557377049180327,0.5111457242004492
wavelet-LHL_glcm_ClusterShade,0.028130052104500692,0.09298880934715271,0.025631617978993337,0.29508196721311475,0.7049180327868853,1.1537204735342317
log-sigma-3-0-mm-3D_firstorder_Entropy,0.014829421340197796,0.12059711702167988,0.0235655968953908,0.20901639344262296,0.7909836065573771,3.671502151246019
square_glszm_GrayLevelNonUniformityNormalized,0.013046494149087675,0.13725094392895698,0.022561544095981618,0.8442622950819673,0.1557377049180328,4.043042467724584
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,0.015213647134674593,0.15960570046678185,0.0223988801275667,0.7049180327868853,0.29508196721311475,4.519724609236027
log-sigma-3-0-mm-3D_glszm_ZonePercentage,0.023706665074865005,0.09578735291957856,0.022120904408969265,0.6229508196721312,0.3770491803278688,1.8146354607490998
log-sigma-4-0-mm-3D_ngtdm_Busyness,0.02072259889769591,0.112812933139503,0.021976155817144894,0.6680327868852459,0.3319672131147541,2.362791338938971
