feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
gradient_ngtdm_Contrast,0.25162254098924325,0.4501475988977288,0.08103614391126282,0.5344262295081967,0.46557377049180326
Age,0.1895038305657847,1.0,0.20553792852159944,0.580327868852459,0.419672131147541
wavelet-LLL_glcm_JointEntropy,0.17498728874332162,0.5437188229937434,0.10498562504535668,0.6721311475409836,0.32786885245901637
log-sigma-1-0-mm-3D_glcm_JointEnergy,0.16099543804762265,0.26654103784419053,0.04106415500726449,0.5245901639344263,0.47540983606557374
wavelet-HHH_glcm_SumAverage,0.1370657675615718,0.18702926153155217,0.02199493526961876,0.4819672131147541,0.5180327868852459
original_glszm_SmallAreaEmphasis,0.1353364083373643,0.5269159510799847,0.07915646721002906,0.5016393442622951,0.49836065573770494
wavelet-LLL_glrlm_RunLengthNonUniformityNormalized,0.13117996775542118,0.2838478344147338,0.07403951360924854,0.4360655737704918,0.5639344262295082
log-sigma-5-0-mm-3D_firstorder_Minimum,0.12751473642490113,0.44396675917806044,0.07801530520134027,0.35081967213114756,0.6491803278688525
original_glszm_SizeZoneNonUniformityNormalized,0.10420801231036197,0.4776735536053213,0.0927016238543745,0.6426229508196721,0.35737704918032787
wavelet-HLL_glcm_Imc2,0.10358387152089474,0.21973873290178253,0.045973698674669584,0.3639344262295082,0.6360655737704918
wavelet-HHL_glszm_GrayLevelVariance,0.09473498027393357,0.18141332300700927,0.036038305210018155,0.3737704918032787,0.6262295081967213
log-sigma-4-0-mm-3D_ngtdm_Strength,0.08804685699417954,0.3079565649160015,0.06063173004157699,0.7311475409836066,0.26885245901639343
wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.08288636505307675,0.25127716555670204,0.04834726162562677,0.24918032786885247,0.7508196721311475
wavelet-LLL_glszm_ZonePercentage,0.0802133324696273,0.23258536274213726,0.04957787553054917,0.5081967213114754,0.4819672131147541
original_glszm_SizeZoneNonUniformity,0.07844687683512222,0.1919700327315395,0.03937191877069563,0.6524590163934426,0.3475409836065574
log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,0.07630031403655303,0.2217931303159043,0.04591195630986106,0.32131147540983607,0.6786885245901639
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.07553554292216665,0.12844418561234736,0.022605683865671175,0.4918032786885246,0.5081967213114754
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.07441789235817643,0.22596925049287742,0.05383817331790393,0.3540983606557377,0.6459016393442623
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.07102451312853685,0.0985768312141122,0.021705042954871717,0.3901639344262295,0.6098360655737705
wavelet-HLL_gldm_SmallDependenceHighGrayLevelEmphasis,0.07035121102586252,0.09142945702996384,0.013255148252391501,0.4524590163934426,0.5475409836065573
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.06768007563955088,0.1048943596458143,0.019845899433461843,0.3836065573770492,0.6163934426229508
gradient_firstorder_10Percentile,0.06340691556897314,0.23202215194090992,0.044203779673302496,0.28852459016393445,0.7114754098360656
square_firstorder_Kurtosis,0.06276775456263552,0.08652520733996702,0.00982749408941993,0.43934426229508194,0.5606557377049181
wavelet-LHL_glrlm_GrayLevelNonUniformity,0.06139327169513938,0.1590896027142041,0.04501863517441756,0.7475409836065574,0.25245901639344265
log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.058319704392726254,0.16877601717446705,0.0202044504611185,0.4360655737704918,0.5639344262295082
gradient_ngtdm_Strength,0.05818018632845109,0.06534801644859504,0.005812613918650087,0.39672131147540984,0.6032786885245902
wavelet-LHH_firstorder_Entropy,0.05727961726291537,0.10355939410218173,0.02794333608787556,0.5606557377049181,0.43934426229508194
lbp-3D-m2_firstorder_90Percentile,0.05723415493597633,0.13736690160946488,0.0394553973048396,0.4459016393442623,0.5540983606557377
wavelet-HHL_gldm_DependenceNonUniformityNormalized,0.056296366809730755,0.10242543764200615,0.024658505285117274,0.4885245901639344,0.5114754098360655
log-sigma-1-0-mm-3D_glrlm_GrayLevelVariance,0.05377916857906292,0.19602818178754372,0.0379923553766165,0.7245901639344262,0.2754098360655738
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0526370391990086,0.13212861308601453,0.029141555867533135,0.35081967213114756,0.6491803278688525
square_glcm_InverseVariance,0.05200824831704977,0.07104133727248961,0.01399163834799026,0.35081967213114756,0.6491803278688525
wavelet-HLH_glrlm_ShortRunLowGrayLevelEmphasis,0.04951463528040628,0.16571751094607318,0.04043620840063264,0.45901639344262296,0.5409836065573771
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.04855968455169106,0.06331295601497129,0.013398286656901178,0.5606557377049181,0.43934426229508194
square_glszm_SmallAreaLowGrayLevelEmphasis,0.04852932423830324,0.10598581628978301,0.026497280119905757,0.6098360655737705,0.3901639344262295
original_glcm_ClusterProminence,0.04820335240324451,0.2490986636382542,0.05119083534947233,0.6459016393442623,0.3540983606557377
wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.04675067039704122,0.12684007672626563,0.023953638973256478,0.6163934426229508,0.3836065573770492
wavelet-LLH_glcm_DifferenceEntropy,0.04568016936800044,0.09354246374872817,0.020308635260587557,0.5049180327868853,0.49508196721311476
lbp-3D-m2_firstorder_Skewness,0.04528651333079403,0.08352345104451889,0.02263394766354415,0.3016393442622951,0.6983606557377049
wavelet-HLL_glrlm_RunPercentage,0.044553729610163934,0.20933514122550903,0.033192442786947995,0.6819672131147541,0.3180327868852459
square_glcm_Correlation,0.04307098661526699,0.2511262064975925,0.046034245846065094,0.5967213114754099,0.40327868852459015
log-sigma-4-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.04263754036604932,0.1260100879306495,0.02249794776310889,0.5245901639344263,0.47540983606557374
gradient_glszm_LowGrayLevelZoneEmphasis,0.04260704507172403,0.1027546143911173,0.02606216779850602,0.5180327868852459,0.4819672131147541
logarithm_glszm_ZoneEntropy,0.042579112383617695,0.072592976680672,0.01906200820458805,0.3081967213114754,0.6918032786885245
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.040708497856002925,0.09339125224154422,0.018472487024118574,0.3540983606557377,0.6459016393442623
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.04064147325023478,0.07469000996120152,0.01841245232920342,0.5409836065573771,0.45901639344262296
wavelet-LHL_gldm_DependenceNonUniformity,0.03866412615155655,0.12293971433071943,0.029868910244071498,0.4459016393442623,0.5540983606557377
wavelet-LHH_gldm_DependenceVariance,0.03511017888619137,0.11908891222428016,0.0226607361341287,0.5409836065573771,0.45901639344262296
log-sigma-4-0-mm-3D_ngtdm_Contrast,0.03478711299952947,0.10505191669431603,0.02528492516110813,0.6819672131147541,0.3180327868852459
wavelet-HHL_glszm_LargeAreaEmphasis,0.03439905035960913,0.16182685012945838,0.028230036022207215,0.780327868852459,0.21967213114754097
