feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
log-sigma-5-0-mm-3D_firstorder_Minimum,0.08705000751965113,0.7644079673383385,0.12888649055983495,0.2845901639344262,0.31540983606557377
lbp-2D_glrlm_ShortRunEmphasis,0.08155819645216843,0.757501533664763,0.15411472653596575,0.1855737704918033,0.21442622950819673
wavelet-HLH_gldm_DependenceNonUniformityNormalized,0.07600073152984504,0.5810336536169052,0.13814907420670933,0.2,0.2
log-sigma-5-0-mm-3D_firstorder_10Percentile,0.06954161195468891,1.0537038590968586,0.1744056664798769,0.21114754098360655,0.18885245901639344
Age,0.061547569909826155,1.7977921101357788,0.20037770988285594,0.2577049180327869,0.1422950819672131
square_firstorder_Kurtosis,0.05752448174313865,1.1289803141914307,0.15799300709853414,0.4340983606557377,0.1659016393442623
gradient_glszm_LowGrayLevelZoneEmphasis,0.050030417123458286,0.7839628987945616,0.08995663878402595,0.22098360655737706,0.17901639344262296
gradient_glcm_Imc2,0.04272262789169517,0.47179609779268505,0.0765428706192341,0.18032786885245902,0.21967213114754097
original_glszm_SizeZoneNonUniformity,0.04053099861040898,0.5024569672904908,0.05913728762425709,0.29180327868852457,0.3081967213114754
wavelet-HHH_glcm_Autocorrelation,0.03771773173664315,0.2981049988884479,0.06126175104805244,0.30491803278688523,0.29508196721311475
wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.03626293472215557,0.2292128771543503,0.04904323576164113,0.22032786885245903,0.379672131147541
wavelet-HLL_gldm_LargeDependenceEmphasis,0.03339756008669101,0.2595358151011169,0.050652986052844205,0.29901639344262293,0.5009836065573771
original_glszm_SmallAreaEmphasis,0.033173228676110264,0.29305636897683146,0.04411089709506657,0.18491803278688523,0.41508196721311474
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.03278163776555953,0.5021073536016047,0.07197945795734528,0.1678688524590164,0.2321311475409836
logarithm_glszm_SizeZoneNonUniformityNormalized,0.03250955322594308,0.2793813409889117,0.0317353406533787,0.4242622950819672,0.37573770491803277
lbp-3D-k_glszm_SizeZoneNonUniformityNormalized,0.03147699643310893,0.21792783888056874,0.0545255181271189,0.21049180327868852,0.18950819672131147
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.029477250747136086,0.6438864347338676,0.06340796925022812,0.1659016393442623,0.2340983606557377
log-sigma-5-0-mm-3D_glcm_Imc2,0.02922382406618248,0.2828364398889244,0.05208382143251121,0.21114754098360655,0.18885245901639344
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.029212304600899214,0.3028996613062918,0.05717255561232916,0.20852459016393443,0.19147540983606556
wavelet-LLL_glszm_SizeZoneNonUniformity,0.029098083580697553,0.2511545165628195,0.049656522971544964,0.3259016393442623,0.2740983606557377
wavelet-LLH_glcm_ClusterShade,0.02847472753972999,0.32180581595748664,0.0468844704870374,0.18885245901639344,0.21114754098360655
wavelet-LLL_glcm_InverseVariance,0.027626393646638495,0.304644529055804,0.05709045714145562,0.19081967213114753,0.20918032786885246
wavelet-LLH_ngtdm_Contrast,0.025592813844844457,0.09493474205955862,0.034064562834379634,0.2039344262295082,0.1960655737704918
wavelet-LLH_glszm_SmallAreaEmphasis,0.02449714546814314,0.38862168237566946,0.04482164921218602,0.11016393442622952,0.2898360655737705
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.024439993033107725,0.28224100582301614,0.04079917794641471,0.2813114754098361,0.3560655737704918
wavelet-LHL_firstorder_Skewness,0.022071602793923402,0.1314178004860878,0.03659348948098314,0.13704918032786886,0.26295081967213113
log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,0.02155995233233286,0.16565337736159563,0.0336412833114231,0.18491803278688523,0.21508196721311476
wavelet-LLH_firstorder_Skewness,0.020109577400510233,0.45018513953313233,0.04353027459877666,0.22688524590163933,0.17311475409836066
wavelet-LLH_ngtdm_Strength,0.01908468857940713,0.40257378783077,0.04596593006569728,0.25049180327868853,0.14950819672131146
original_firstorder_MeanAbsoluteDeviation,0.018511372874150462,0.3168092347867787,0.04290025700303978,0.22885245901639345,0.17114754098360654
log-sigma-4-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.01797063564658318,0.28217546369880436,0.031304833969163476,0.35081967213114756,0.24918032786885247
wavelet-HLL_glrlm_RunVariance,0.01790926146294127,0.36362844713032244,0.04211532821279275,0.20131147540983607,0.19868852459016392
wavelet-HHL_glszm_ZonePercentage,0.017836674271674357,0.17947399020195007,0.03175592001028735,0.20327868852459016,0.19672131147540983
wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.01679074348240448,0.18106753297150135,0.026064173425177337,0.44,0.16
log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.016475102986047267,0.2197304692491889,0.032020745763875244,0.18098360655737705,0.21901639344262294
wavelet-HHL_glszm_GrayLevelVariance,0.016180633047711626,0.08116750061511993,0.024934769639101535,0.16655737704918033,0.23344262295081966
square_glszm_GrayLevelVariance,0.015609615789677522,0.11420107435435056,0.02580164877651753,0.16655737704918033,0.23344262295081966
log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.015335207608232206,0.0490487140417099,0.01624885847639989,0.300327868852459,0.299672131147541
log-sigma-3-0-mm-3D_firstorder_Range,0.015055109049813435,0.17418684005737306,0.025918363152474845,0.2019672131147541,0.1980327868852459
log-sigma-2-0-mm-3D_glszm_ZonePercentage,0.01473525802076596,0.34451974779367445,0.03026125588154652,0.2242622950819672,0.37573770491803277
log-sigma-4-0-mm-3D_glcm_JointAverage,0.014599962950790996,0.3388635328412056,0.036342561954292495,0.18622950819672132,0.2137704918032787
gradient_ngtdm_Strength,0.014004297333711502,0.34152266785502433,0.03115119849076651,0.08131147540983606,0.12065573770491804
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.013415773218799928,0.10673455465584994,0.01874914532716642,0.24721311475409835,0.3527868852459016
wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.012873503592682118,0.08519364381209016,0.02065952227670672,0.2019672131147541,0.1980327868852459
