feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
wavelet-LHL_glcm_Correlation,0.13445664006419583,2.207520936569199,0.311474360110905,0.3763934426229508,0.6236065573770492
Age,0.13215942414381826,3.44391689912416,0.4126229935196863,0.5436065573770492,0.25639344262295083
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.13017664543738755,1.6380790875293314,0.2448094582505953,0.34557377049180327,0.4544262295081967
square_firstorder_Kurtosis,0.12496715052337902,1.72922020605125,0.23836103430913952,0.4675409836065574,0.3324590163934426
wavelet-LLH_firstorder_Kurtosis,0.12282794482235504,1.2895348309449037,0.24219184667060517,0.42098360655737704,0.37901639344262295
log-sigma-5-0-mm-3D_firstorder_10Percentile,0.11371116987702619,1.8126269109081476,0.2882193690954296,0.5481967213114755,0.2518032786885246
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.09653627264900556,1.475664578061551,0.21442872876381044,0.16327868852459015,0.4367213114754098
original_ngtdm_Strength,0.08057160862498061,0.8119056533183903,0.18062077999156737,0.33508196721311473,0.26491803278688525
log-sigma-5-0-mm-3D_firstorder_Minimum,0.07874602469529877,1.3829735432087908,0.18553366875420757,0.4137704918032787,0.3862295081967213
wavelet-LLL_gldm_SmallDependenceEmphasis,0.07149972945407297,0.645270521347411,0.1489290849503363,0.20327868852459016,0.39672131147540984
wavelet-HHH_glcm_Autocorrelation,0.06902007415209002,0.7697037956351415,0.15363249831140066,0.4636065573770492,0.33639344262295084
original_glszm_LargeAreaLowGrayLevelEmphasis,0.06770571774773122,0.5731771188578568,0.12152526444615751,0.4944262295081967,0.5055737704918033
log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.06738734076107636,1.0574949885555542,0.15389542307014434,0.5547540983606557,0.24524590163934426
wavelet-HLH_gldm_DependenceEntropy,0.06713715500363623,0.6569967729737982,0.15290159069291018,0.33508196721311473,0.26491803278688525
wavelet-HLH_firstorder_90Percentile,0.06200460873474024,0.8397446979023516,0.1370616042504504,0.22557377049180327,0.17442622950819672
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.057099015250976076,0.7470290861651301,0.12428311721650846,0.12327868852459016,0.27672131147540985
gradient_glcm_Imc2,0.05674822244518177,0.6645778540149331,0.10135207269303838,0.3180327868852459,0.2819672131147541
log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.05624474801821733,1.2246694702282548,0.153143696068949,0.5481967213114755,0.4518032786885246
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.05619472822356651,0.6457152992486954,0.12208451620815307,0.34950819672131145,0.25049180327868853
log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,0.050854249076941783,0.6787052806746214,0.10418190290493017,0.4098360655737705,0.3901639344262295
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.0505419151725015,0.6832421385776252,0.08483054357795271,0.4734426229508197,0.5265573770491804
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.04955255995806918,0.6148681997321546,0.07544055515774732,0.3960655737704918,0.4039344262295082
wavelet-LLH_glcm_ClusterShade,0.049511414248611926,0.5323817696678452,0.10142110704624602,0.21967213114754097,0.18032786885245902
original_glszm_ZonePercentage,0.04896196796881174,0.7659083077358082,0.11948806565568292,0.5495081967213115,0.25049180327868853
original_glszm_SizeZoneNonUniformity,0.04815943158095328,0.6735459676384926,0.0926659606411051,0.3534426229508197,0.24655737704918032
wavelet-LHL_firstorder_Minimum,0.04772878922095884,0.49963244011101776,0.08577038287505849,0.4550819672131148,0.34491803278688526
