feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
Sex,0.14332940658682697,0.21115729179760692,0.037383887848402006,0.48655737704918034,0.5134426229508197
Age,0.1323129632599266,1.152770077532676,0.17084663433719963,0.5036065573770492,0.4963934426229508
gradient_firstorder_Minimum,0.12905613449490547,0.36169441236555333,0.07047567720359535,0.479344262295082,0.520655737704918
diagnostics_Image-original_Mean,0.12186990265278237,1.0093376627686153,0.17589221541704866,0.49573770491803276,0.5042622950819672
lbp-2D_firstorder_90Percentile,0.10371218042666455,0.302324915541146,0.08738945921831447,0.4786885245901639,0.521311475409836
wavelet-LHH_firstorder_Skewness,0.10055034956254982,1.0713328971092402,0.11927883176071503,0.49573770491803276,0.5042622950819672
y_min,0.09939145380804204,1.0986263115808077,0.13305632048616853,0.5245901639344263,0.47540983606557374
lbp-3D-k_glszm_ZoneEntropy,0.09789048489912548,0.7571323863579633,0.12696545168405235,0.5147540983606558,0.4852459016393443
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.09727589614535322,0.6271033555908113,0.10731352321530474,0.49836065573770494,0.5016393442622951
wavelet-HHL_firstorder_Skewness,0.09467604944477119,1.3313819273613379,0.13095459079203606,0.4970491803278689,0.5029508196721312
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.09412434112486923,0.8516765083439222,0.1060510605313344,0.5009836065573771,0.49901639344262294
original_firstorder_Kurtosis,0.09394320727755216,1.0738176200332563,0.12043391141972598,0.4498360655737705,0.5501639344262295
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.09067974418575685,0.916513930177352,0.10260518366324775,0.4681967213114754,0.5318032786885246
lbp-2D_firstorder_10Percentile,0.0887020692009711,0.5470938959183284,0.05893389417550975,0.49836065573770494,0.5016393442622951
wavelet-HHH_glszm_ZoneEntropy,0.08783964893836355,0.5266274839905967,0.07823400792803903,0.5016393442622951,0.49836065573770494
gradient_glszm_SmallAreaHighGrayLevelEmphasis,0.08760971823119908,0.926530716258734,0.0950432310886583,0.5062295081967213,0.4937704918032787
wavelet-LHH_firstorder_Mean,0.08626556267424418,0.5674446962219782,0.07495435111506057,0.4963934426229508,0.5036065573770492
wavelet-HHH_firstorder_Mean,0.08361163882508076,0.7642621628001585,0.10843252156283142,0.5068852459016393,0.49311475409836064
log-sigma-3-0-mm-3D_glszm_GrayLevelVariance,0.083247314716627,0.6123704282148846,0.10456013218488325,0.4977049180327869,0.5022950819672131
wavelet-HHL_gldm_DependenceEntropy,0.08314981974321045,0.5913580829055105,0.07065768497894583,0.5036065573770492,0.4963934426229508
logarithm_glszm_SizeZoneNonUniformityNormalized,0.08239503381393655,0.6793018917367633,0.09606398342727857,0.4911475409836066,0.5088524590163934
gradient_ngtdm_Strength,0.08189949705839968,0.8366828735050734,0.11294659776182338,0.5678688524590164,0.4321311475409836
wavelet-LLH_glcm_Idmn,0.08173409281138165,0.3907592948364121,0.06281918583508717,0.48065573770491804,0.519344262295082
lbp-3D-k_glszm_SizeZoneNonUniformityNormalized,0.08149728116428899,0.6010856588878292,0.09488695150467115,0.52,0.48
logarithm_glszm_ZoneEntropy,0.07983712998170897,0.6439804916632433,0.09414100086139082,0.49901639344262294,0.5009836065573771
