feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
wavelet-HHH_glszm_LargeAreaEmphasis,0.005013919058828956,0.024488799818100232,0.004594411460772616,0.48721311475409834,0.5127868852459017
wavelet-LLL_gldm_SmallDependenceEmphasis,0.004473344295136881,0.01744283397214531,0.004027769827215474,0.45114754098360654,0.5488524590163935
wavelet-HHH_gldm_SmallDependenceEmphasis,0.005865733681846784,0.02221278393015382,0.003971524378047703,0.5088524590163934,0.4911475409836066
wavelet-LHH_gldm_DependenceEntropy,0.0025461818108546675,0.02969674599753489,0.0035929884799766067,0.4662295081967213,0.5337704918032787
exponential_glrlm_ShortRunLowGrayLevelEmphasis,0.004835638861769962,0.022482148652234173,0.003544456463313804,0.4918032786885246,0.5081967213114754
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.0014736899114553145,0.040933486048452324,0.003540503486896185,0.4583606557377049,0.5416393442622951
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.0017863053932222195,0.02984707638396685,0.0033481324445125264,0.4701639344262295,0.5298360655737705
lbp-2D_gldm_DependenceVariance,0.0030988867623878607,0.021639549697920302,0.0032048164344686174,0.5114754098360655,0.4885245901639344
wavelet-LHH_gldm_SmallDependenceEmphasis,0.0014563964129866282,0.022846197089984345,0.0027992026249874804,0.5180327868852459,0.48
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.002609267843689873,0.025292271068319678,0.002616865339932861,0.45901639344262296,0.5409836065573771
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.001507927150650709,0.02239412191313022,0.002598678104119994,0.5173770491803279,0.48262295081967216
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,0.0034504238195298656,0.020209740952122957,0.0025324355685153697,0.49311475409836064,0.5068852459016393
wavelet-LHH_glszm_LargeAreaEmphasis,0.0014990282859093209,0.020265139472721783,0.002453312039779903,0.5055737704918033,0.4944262295081967
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.00267584425763632,0.022404516502283513,0.0023814438716589026,0.5154098360655738,0.4845901639344262
lbp-3D-m1_firstorder_Kurtosis,0.002883782534012595,0.010247315287469973,0.0021348748166925735,0.4878688524590164,0.5121311475409837
log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,0.0016459132752986222,0.013567448659159709,0.0020449961268602514,0.43475409836065576,0.3652459016393443
wavelet-LLL_gldm_GrayLevelNonUniformity,0.0022956764158830957,0.010762742609804263,0.002033443228473181,0.5278688524590164,0.4721311475409836
original_gldm_SmallDependenceEmphasis,0.002678119406043959,0.011377373479954258,0.0020321032791663996,0.48131147540983604,0.5186885245901639
lbp-3D-k_firstorder_RootMeanSquared,0.0027077272691404405,0.010129930469975078,0.0019713409230146303,0.5514754098360656,0.4485245901639344
wavelet-HHH_glszm_ZonePercentage,0.0023225596962422063,0.009339294310138939,0.0019384761470672292,0.48262295081967216,0.5173770491803279
original_shape_SurfaceVolumeRatio,0.0023166242939018098,0.01016246263501671,0.0019222039612597584,0.5036065573770492,0.4963934426229508
log-sigma-5-0-mm-3D_glrlm_ShortRunEmphasis,0.00234791534018799,0.010633175249313353,0.0018763546838682784,0.5108196721311475,0.48918032786885246
wavelet-LLH_firstorder_10Percentile,0.0014911601237568978,0.010633806461119093,0.0018084103743965334,0.4301639344262295,0.5698360655737705
log-sigma-5-0-mm-3D_gldm_SmallDependenceEmphasis,0.0019699500258151064,0.013390202695154585,0.0017986240251699355,0.4314754098360656,0.5685245901639344
log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.0017011161247018377,0.012548093319492182,0.0017790682259620936,0.49508196721311476,0.5049180327868853
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0023875105634771237,0.008358280939282849,0.0017436498772816504,0.4944262295081967,0.5055737704918033
original_glszm_LargeAreaEmphasis,0.0023920578782652747,0.009943639794983028,0.0017142141411647265,0.5140983606557377,0.4859016393442623
wavelet-HLH_gldm_SmallDependenceEmphasis,0.001721906747097686,0.010335938289454134,0.0016943794950987792,0.4616393442622951,0.5311475409836065
Age,0.0008769808285884099,0.015695869201545067,0.001612689192378503,0.45311475409836066,0.5468852459016393
log-sigma-5-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.0021270527353335115,0.012294867186137709,0.0016000164456140323,0.4544262295081967,0.5455737704918033
log-sigma-5-0-mm-3D_glrlm_RunEntropy,0.0011912513581276269,0.013488450404074682,0.0015538005169787974,0.48327868852459016,0.5167213114754098
logarithm_glszm_SizeZoneNonUniformityNormalized,0.0016787591923670012,0.013999299864517525,0.0015391082423795632,0.5101639344262295,0.4898360655737705
wavelet-HHH_glrlm_ShortRunHighGrayLevelEmphasis,0.0012880027514177454,0.010913856676797878,0.0015066954991100549,0.48131147540983604,0.5186885245901639
lbp-2D_firstorder_Kurtosis,0.0019265280238111855,0.009608048249483546,0.0014988969590747977,0.43868852459016394,0.5613114754098361
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.0009085513226529518,0.013078365673009103,0.0014699295652998497,0.5593442622950819,0.44065573770491806
wavelet-HLH_gldm_DependenceEntropy,0.0018677469953539468,0.0067877650125228685,0.0014648734228074876,0.4701639344262295,0.5298360655737705
wavelet-LLL_glszm_LargeAreaLowGrayLevelEmphasis,0.0016687846176094703,0.007077908033497806,0.0014588462333380986,0.47475409836065574,0.5252459016393443
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.00174988223137656,0.008926277734935865,0.0013768996191594965,0.4485245901639344,0.5514754098360656
log-sigma-1-0-mm-3D_firstorder_10Percentile,0.0011554294166802002,0.008269147702958436,0.0013491607769444533,0.4577049180327869,0.5422950819672131
gradient_gldm_DependenceVariance,0.001365108122952637,0.007404492757341358,0.001343718382988548,0.47475409836065574,0.5252459016393443
log-sigma-3-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.0009092646531276179,0.009958124438562664,0.0013321927048298566,0.5580327868852459,0.4419672131147541
log-sigma-1-0-mm-3D_firstorder_Uniformity,0.0012773938001250905,0.011461022806179244,0.0013161978083969807,0.4885245901639344,0.5114754098360655
wavelet-LHL_firstorder_Skewness,0.0009614739543022745,0.015294589879340492,0.0013089142570661693,0.47147540983606556,0.5285245901639344
wavelet-HHH_glszm_ZoneVariance,0.0010156499010022494,0.009282736007735366,0.0013030170507287806,0.5449180327868852,0.4550819672131148
log-sigma-2-0-mm-3D_firstorder_Uniformity,0.0010972982314673078,0.01013352016932913,0.0012872107202894399,0.4675409836065574,0.5324590163934426
exponential_gldm_DependenceVariance,0.001392458669835559,0.009392825978748078,0.0012709776438146246,0.4157377049180328,0.5842622950819673
wavelet-LHL_firstorder_Median,0.0016934237349960231,0.009374764739186503,0.0012694795512433253,0.4616393442622951,0.5383606557377049
wavelet-LHL_glcm_Correlation,0.0009757713840424172,0.009386999975504295,0.0012581582981246457,0.3678688524590164,0.6295081967213115
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.0015424945113934538,0.00941286883520661,0.0012526917943399723,0.460983606557377,0.539016393442623
original_gldm_GrayLevelNonUniformity,0.001040611583811879,0.007562871069530956,0.0012368565614740141,0.5180327868852459,0.4819672131147541
wavelet-HLL_gldm_LargeDependenceEmphasis,0.000768819538238071,0.010356747528130655,0.0012342846993742447,0.45704918032786884,0.34295081967213115
wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized,0.0009954051789263275,0.012623609564616344,0.0012126461755641981,0.48,0.52
log-sigma-4-0-mm-3D_firstorder_InterquartileRange,0.0011739882574582636,0.008248923266085057,0.0012091190030823185,0.5075409836065574,0.49245901639344264
log-sigma-1-0-mm-3D_glcm_MaximumProbability,0.0009302100937729691,0.011675371732708299,0.0012071057929950028,0.5081967213114754,0.4918032786885246
wavelet-HLL_glrlm_LongRunEmphasis,0.0006875054451178582,0.01047386966592967,0.0012007473662307582,0.4439344262295082,0.4104918032786885
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.0015413234159257544,0.008027901390451007,0.0011987046633341702,0.46295081967213114,0.5370491803278689
lbp-3D-k_ngtdm_Busyness,0.0012471483929279456,0.006795563572113679,0.001183663969956332,0.48131147540983604,0.4740983606557377
wavelet-LHL_glszm_LargeAreaEmphasis,0.0009496809464754568,0.009663696254410752,0.001165612873492026,0.49836065573770494,0.5016393442622951
log-sigma-3-0-mm-3D_glszm_ZonePercentage,0.000953170549779619,0.008501035085337207,0.0011532119785407921,0.3836065573770492,0.4163934426229508
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.001251449422943691,0.009885886052506976,0.0011528855045634528,0.43540983606557376,0.5645901639344262
gradient_glcm_ClusterProminence,0.0011438311124043917,0.007963496139391282,0.0011453456324960315,0.5009836065573771,0.49901639344262294
wavelet-LLH_firstorder_Median,0.0011349987069480274,0.00813575855126146,0.0011307999778574402,0.47081967213114756,0.5291803278688525
log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.0007282838372042773,0.008466631461387805,0.0011257012945296498,0.5180327868852459,0.4819672131147541
wavelet-HLL_glrlm_RunVariance,0.0006153493474034343,0.011252942454952973,0.0011004585984128205,0.5108196721311475,0.45967213114754096
squareroot_gldm_DependenceNonUniformity,0.0010407493112317395,0.006974051013476128,0.0010966086352144388,0.4662295081967213,0.5337704918032787
