feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
original_shape_SurfaceArea,0.10070014817502196,1.4142480664886534,0.23546089351478647,0.1762295081967213,0.22377049180327868
gradient_ngtdm_Busyness,0.10653626919287211,1.1169399151019752,0.2154362895910841,0.3180327868852459,0.2819672131147541
original_shape_Sphericity,0.09322949941963583,1.1698919615522028,0.2102005474784322,0.14590163934426228,0.2540983606557377
square_firstorder_Kurtosis,0.08542873225029618,1.4680994649603962,0.19234880813088653,0.29180327868852457,0.3081967213114754
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.05857075420712101,1.7429015543684363,0.19186618914067602,0.02540983606557377,0.17459016393442622
log-sigma-5-0-mm-3D_firstorder_10Percentile,0.07679050961819281,1.0957941038161516,0.18358348255724702,0.1483606557377049,0.051639344262295085
log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,0.08565991198616943,1.0127489087870345,0.1777123965307635,0.18360655737704917,0.21639344262295082
gradient_glcm_Imc2,0.06591226506107449,1.0530963242612779,0.16213340759134112,0.20327868852459016,0.1959016393442623
wavelet-LLH_glszm_SmallAreaHighGrayLevelEmphasis,0.06677929007233935,0.8431292197480798,0.14692220601202194,0.07295081967213114,0.12704918032786885
log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.05746858190749509,1.2556009031832218,0.14565289169647572,0.3254098360655738,0.07459016393442623
wavelet-LLH_glcm_ClusterShade,0.07990456592335561,0.7166846755496227,0.14282515782337613,0.19836065573770492,0.20163934426229507
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,0.054269504762056095,0.8087606748938561,0.13782734784100953,0.04590163934426229,0.1540983606557377
wavelet-HLL_firstorder_Entropy,0.05903403643745984,1.1910114895366133,0.1355223547314696,0.23770491803278687,0.16229508196721312
wavelet-LLH_glszm_HighGrayLevelZoneEmphasis,0.05051379281357519,1.2783448850363492,0.12089527513694386,0.4901639344262295,0.30983606557377047
log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.06151845506972016,0.6531446099281311,0.11886279921564281,0.2319672131147541,0.3680327868852459
lbp-3D-k_glszm_ZonePercentage,0.05035129590715916,0.7033208223059774,0.11483652532176356,0.07049180327868852,0.12950819672131147
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.0629727633964904,0.6332707421109081,0.10928274411349118,0.41147540983606556,0.3885245901639344
log-sigma-5-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.04509310820720877,0.5696988365519792,0.10794372770020937,0.09508196721311475,0.10491803278688525
wavelet-HLH_gldm_DependenceEntropy,0.06827719349449987,0.439980126619339,0.1024576401810332,0.2975409836065574,0.30245901639344264
original_glszm_SizeZoneNonUniformityNormalized,0.04739406567780091,0.7726141446270048,0.09910590582412201,0.1942622950819672,0.20573770491803278
exponential_gldm_DependenceVariance,0.04309039622056678,0.5521904141455889,0.09743760117414499,0.06311475409836066,0.13688524590163934
lbp-2D_firstorder_Kurtosis,0.046705151334275156,0.5380938516091556,0.09484350725135317,0.2795081967213115,0.32049180327868854
wavelet-HHH_glszm_ZoneEntropy,0.03570663918851356,0.6279873282462358,0.09163827261519378,0.09672131147540984,0.10327868852459017
wavelet-HHH_glcm_Autocorrelation,0.04092513369772007,0.4360151055455208,0.0912174968623537,0.1,0.1
wavelet-HLH_glcm_ClusterProminence,0.024498795764362355,1.5606869313772769,0.09095521494960676,0.1737704918032787,0.2262295081967213
wavelet-HHL_glcm_SumEntropy,0.054245480322173106,0.49276052188128233,0.08774373915105431,0.25901639344262295,0.34098360655737703
lbp-3D-m2_firstorder_MeanAbsoluteDeviation,0.0402361889657179,0.5256824424117803,0.0845358469850538,0.20163934426229507,0.19836065573770492
wavelet-LHH_glszm_SizeZoneNonUniformity,0.03513593201844983,0.49359567154198886,0.08112834050651395,0.20655737704918034,0.39344262295081966
log-sigma-5-0-mm-3D_gldm_SmallDependenceEmphasis,0.02883621982920945,0.6083320987224579,0.08068798828389906,0.07459016393442623,0.3254098360655738
wavelet-LHH_glcm_Idmn,0.035108578009824795,0.5116436745226384,0.0764751534052925,0.12377049180327869,0.2762295081967213
wavelet-LHL_firstorder_Skewness,0.04508379089079234,0.35423770945519206,0.07627523327585144,0.3680327868852459,0.4319672131147541
log-sigma-5-0-mm-3D_ngtdm_Coarseness,0.036513749756041144,0.4102900718152523,0.0761559672163801,0.26639344262295084,0.3336065573770492
wavelet-LHH_firstorder_Maximum,0.023322714818887733,0.8522379916533828,0.0751247639075886,0.07213114754098361,0.32786885245901637
log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.04409719337105988,0.35824214391410353,0.07252595608995271,0.3237704918032787,0.2762295081967213
Age,0.025612180752817123,0.8464256125874817,0.07235955243351705,0.26229508196721313,0.1377049180327869
original_firstorder_Mean,0.03528195970833727,0.3445934900268912,0.07219972464175752,0.19918032786885245,0.1918032786885246
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,0.04450377279499804,0.3712351829558611,0.07153150950415765,0.14754098360655737,0.25245901639344265
original_glszm_LargeAreaLowGrayLevelEmphasis,0.04039191726489817,0.33182076886296274,0.07085147181812106,0.17131147540983607,0.22868852459016392
log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.03206663823806391,0.45646028554067014,0.07071220442427427,0.15655737704918032,0.24344262295081967
wavelet-LLL_glcm_InverseVariance,0.03355652489820036,0.4154041496664286,0.07067109627301557,0.32786885245901637,0.2721311475409836
wavelet-HHH_glcm_SumSquares,0.02380590737688157,0.7003384678810834,0.07035917290256713,0.2278688524590164,0.1721311475409836
log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.015776604543001095,1.045927920937538,0.06989897639194458,0.16229508196721312,0.23770491803278687
lbp-3D-k_glszm_LargeAreaEmphasis,0.055114596600735886,0.5086339516006411,0.06831132028266522,0.3336065573770492,0.4663934426229508
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.015459110131078844,0.8974860676378011,0.0660347657470816,0.08770491803278689,0.3122950819672131
log-sigma-5-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.041505388153663454,0.38619331976398824,0.06313332006584504,0.369672131147541,0.230327868852459
original_firstorder_10Percentile,0.025290910442100193,0.39024996928870676,0.06262916918079149,0.10655737704918032,0.09344262295081968
wavelet-HHL_firstorder_Median,0.046441123292395935,0.35159733350388706,0.06183777203182371,0.319672131147541,0.48032786885245904
log-sigma-5-0-mm-3D_firstorder_Minimum,0.04320129761052679,0.4326549441739917,0.060799261017144404,0.2614754098360656,0.33852459016393444
square_glrlm_RunLengthNonUniformityNormalized,0.04110901613648482,0.4465031810943037,0.060512716798676994,0.23524590163934425,0.36475409836065575
original_glszm_SizeZoneNonUniformity,0.0589396863254751,0.3057746594585478,0.059502266443988594,0.38278688524590165,0.41721311475409834
log-sigma-2-0-mm-3D_firstorder_90Percentile,0.020570509137234603,0.37327163957059384,0.058626219142150465,0.08934426229508197,0.11065573770491803
gradient_glcm_MCC,0.03064695261447448,0.3208707759529352,0.05810129982104402,0.22131147540983606,0.37868852459016394
wavelet-LHH_gldm_DependenceEntropy,0.02290529642538854,0.3872929770871997,0.05620678196182758,0.20573770491803278,0.1942622950819672
logarithm_glszm_ZoneEntropy,0.023519275227531056,0.5120349479466677,0.05484528103005565,0.19672131147540983,0.20327868852459016
wavelet-HLL_gldm_LargeDependenceLowGrayLevelEmphasis,0.024470592027077766,0.4971917307935655,0.054236421566107064,0.33934426229508197,0.260655737704918
log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.02720697437444907,0.3270184095017612,0.053968787473844045,0.22213114754098362,0.1778688524590164
wavelet-LHL_ngtdm_Strength,0.030792670809801283,0.38593667846173046,0.05360961173663053,0.20245901639344263,0.19754098360655736
log-sigma-2-0-mm-3D_firstorder_Skewness,0.023806442321357344,0.2811113343015313,0.05280655704672124,0.09508196721311475,0.10491803278688525
wavelet-LHH_firstorder_Entropy,0.020558827901169367,0.41938287023454907,0.05211881863148494,0.25491803278688524,0.11885245901639344
squareroot_ngtdm_Complexity,0.02589200541525162,0.26862366527318954,0.0517676506920511,0.2614754098360656,0.33852459016393444
wavelet-LLH_firstorder_Skewness,0.020601891711984056,0.6454704713448882,0.05050192716702279,0.38934426229508196,0.21065573770491802
square_ngtdm_Busyness,0.017350298807467704,0.42455511443316934,0.050059277746142695,0.05081967213114754,0.14918032786885246
log-sigma-2-0-mm-3D_glszm_ZonePercentage,0.024996803264366475,0.7311083523929119,0.049919625545656314,0.380327868852459,0.419672131147541
lbp-3D-m2_firstorder_Maximum,0.023095179332763758,0.2138305964320898,0.04990221847617744,0.12049180327868853,0.07950819672131147
wavelet-HHL_glcm_Idmn,0.014928240207191846,0.8035181264579296,0.04932163172524627,0.16885245901639345,0.4311475409836066
wavelet-LHH_glcm_DifferenceEntropy,0.017773056192281582,0.3203073369525373,0.046289535901909463,0.12377049180327869,0.07622950819672131
wavelet-HLH_gldm_LargeDependenceEmphasis,0.020159494330988226,0.23582541666924953,0.04588242839266836,0.0860655737704918,0.3139344262295082
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.02418531658741851,0.2728730047121644,0.045862015378488566,0.1819672131147541,0.2180327868852459
wavelet-HHL_gldm_SmallDependenceEmphasis,0.016261135874758845,0.3440046559274197,0.045393691049667624,0.06721311475409836,0.13278688524590163
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.015569575259167141,0.3907603083364666,0.045124321551816234,0.04836065573770492,0.15163934426229508
log-sigma-4-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.020536231048863172,0.35017786342650653,0.0450021380725794,0.2319672131147541,0.1680327868852459
original_shape_MinorAxisLength,0.016132729146156283,0.42600765734910967,0.04413988485422307,0.4057377049180328,0.16885245901639345
squareroot_firstorder_10Percentile,0.012908283227085154,0.43691982626914977,0.044052625152104084,0.0942622950819672,0.30573770491803276
logarithm_glszm_SizeZoneNonUniformityNormalized,0.03356489784554121,0.3375420312117785,0.04359983679125236,0.29262295081967216,0.3073770491803279
wavelet-HHL_firstorder_Skewness,0.03244107285543866,0.14511726126074792,0.04325246097932807,0.17131147540983607,0.22868852459016392
log-sigma-3-0-mm-3D_glszm_ZonePercentage,0.0214002550466093,0.3425393968448043,0.04271917199112716,0.2540983606557377,0.34590163934426227
log-sigma-3-0-mm-3D_firstorder_Maximum,0.0167463387974431,0.5315772328525782,0.042211223481159646,0.2155737704918033,0.18442622950819673
wavelet-HLL_firstorder_Skewness,0.019189678605096273,0.3484805917460471,0.04198325536950592,0.2442622950819672,0.1557377049180328
wavelet-LLH_glcm_Autocorrelation,0.019865957709830875,0.19667881060391665,0.0413891407174129,0.28688524590163933,0.31311475409836065
wavelet-HHH_firstorder_Median,0.01780870107400468,0.25129975434392693,0.04104488942076867,0.1221311475409836,0.0778688524590164
log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.011528890744920391,0.4584213321655989,0.03970349904682454,0.06475409836065574,0.13524590163934427
logarithm_glcm_Imc1,0.024568856504417532,0.237837735414505,0.03833752083443884,0.3524590163934426,0.44754098360655736
wavelet-HHH_firstorder_Skewness,0.02088269178736497,0.19906072989106177,0.03819069182820106,0.12049180327868853,0.2795081967213115
wavelet-HHL_firstorder_Energy,0.01424748397576928,0.37250222329050303,0.038183044236627155,0.1942622950819672,0.20573770491803278
wavelet-LHH_glrlm_LongRunEmphasis,0.021549811171947923,0.1252186595275998,0.03774470490046494,0.21311475409836064,0.18688524590163935
square_glszm_GrayLevelNonUniformityNormalized,0.015319410081335423,0.3684176054596901,0.0373032692075344,0.38688524590163936,0.21311475409836064
wavelet-HHL_glszm_SizeZoneNonUniformity,0.016876771408379395,0.14034177295863628,0.03591991347274556,0.1040983606557377,0.0959016393442623
wavelet-LHH_glcm_ClusterProminence,0.01464034485600154,0.19982216373085976,0.035839124353262856,0.054098360655737705,0.14590163934426228
logarithm_glrlm_RunEntropy,0.008697545642554226,0.37492349520325663,0.03533958134908427,0.1778688524590164,0.022131147540983605
wavelet-HHL_glszm_ZonePercentage,0.020597381567490882,0.11403033304959535,0.03488152854934937,0.26229508196721313,0.1377049180327869
gradient_glszm_GrayLevelNonUniformityNormalized,0.01564579957218259,0.1747144354507327,0.03431958380125003,0.09836065573770492,0.10163934426229508
log-sigma-4-0-mm-3D_glcm_ClusterShade,0.014484937814571977,0.2666292479261756,0.03361646989836233,0.24262295081967214,0.15737704918032788
wavelet-LHL_gldm_LargeDependenceEmphasis,0.01621668594271005,0.13652676440775394,0.03308713189068716,0.11147540983606558,0.08852459016393442
wavelet-HLL_glszm_GrayLevelVariance,0.013173205606105031,0.28335147481411693,0.03306904880739503,0.06721311475409836,0.13278688524590163
square_ngtdm_Complexity,0.012707334071046622,0.37666470676660535,0.0326647505189881,0.35655737704918034,0.24344262295081967
wavelet-HHH_glszm_ZoneVariance,0.012231046886694779,0.17768222637474537,0.03221607130155234,0.047540983606557376,0.15245901639344261
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,0.012717391191393939,0.1805303368344903,0.0316849758997426,0.10655737704918032,0.2934426229508197
wavelet-LLH_firstorder_10Percentile,0.012178138669921835,0.18590215757489204,0.031295203953612266,0.20081967213114754,0.19918032786885245
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.008709138186514892,0.4091258420050144,0.0308894751249892,0.05737704918032787,0.34262295081967215
square_glrlm_ShortRunLowGrayLevelEmphasis,0.013307722681934834,0.3377208727784455,0.030579168834284198,0.11475409836065574,0.28524590163934427
original_glszm_SmallAreaHighGrayLevelEmphasis,0.025810402983483242,0.14306269135326147,0.030368767250578008,0.3114754098360656,0.28852459016393445
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,0.014836550231713838,0.15154658425599338,0.03023299028653284,0.2754098360655738,0.12459016393442623
log-sigma-2-0-mm-3D_firstorder_Energy,0.013061323288499876,0.28001055024564264,0.030210235022000584,0.2942622950819672,0.10573770491803279
gradient_glcm_Imc1,0.007272736112701663,0.5289979044348001,0.030179904135145545,0.09344262295081968,0.5065573770491804
gradient_firstorder_Kurtosis,0.020967702126611393,0.12766643431037664,0.03013144514228476,0.1901639344262295,0.2098360655737705
log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.0172804010062532,0.2715510293841362,0.02980499605011957,0.3721311475409836,0.2278688524590164
wavelet-HHL_glszm_ZoneEntropy,0.005682794131674491,0.5112605957686901,0.02980415211217081,0.013934426229508197,0.1860655737704918
squareroot_gldm_SmallDependenceLowGrayLevelEmphasis,0.013455112570213531,0.22578307363204658,0.02956576588544114,0.2262295081967213,0.1737704918032787
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,0.021358485772766812,0.13636902201920748,0.029250691844145475,0.22950819672131148,0.17049180327868851
log-sigma-1-0-mm-3D_glcm_Contrast,0.018260824905446973,0.11838450253009797,0.028981776225448494,0.28032786885245903,0.319672131147541
original_shape_Elongation,0.019024976883262972,0.1560726524144411,0.02884118868851848,0.26311475409836066,0.5368852459016393
square_glcm_Correlation,0.010280757506595548,0.1899084849655628,0.028241736626157424,0.12049180327868853,0.07950819672131147
logarithm_gldm_SmallDependenceLowGrayLevelEmphasis,0.0170088482791287,0.16546036772429942,0.028074485442278252,0.30573770491803276,0.2942622950819672
lbp-3D-k_gldm_DependenceVariance,0.012339238799062607,0.14563858296722174,0.02799727207253742,0.12622950819672132,0.07377049180327869
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.010272573591080175,0.3265902510285377,0.02791746042658771,0.3081967213114754,0.19836065573770492
wavelet-LLL_glszm_SizeZoneNonUniformity,0.015102094299243914,0.08642862226814031,0.02783073956109629,0.1885245901639344,0.21147540983606558
square_glszm_GrayLevelVariance,0.013631468110962127,0.08262451693415641,0.02751937794177133,0.10245901639344263,0.09754098360655737
log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.022886908869847834,0.1220888064801693,0.027306643702419187,0.3336065573770492,0.26639344262295084
wavelet-LLL_gldm_DependenceEntropy,0.009528250945333138,0.219837559312582,0.02727025838735621,0.13278688524590163,0.06721311475409836
logarithm_glrlm_GrayLevelNonUniformity,0.006293722271911611,0.2820271597802639,0.02714720938389513,0.16885245901639345,0.03114754098360656
wavelet-HLH_glszm_LargeAreaEmphasis,0.012787376053478629,0.16372547566890716,0.027098018191916824,0.13934426229508196,0.260655737704918
lbp-3D-m2_firstorder_Skewness,0.009587826270060457,0.19904501162469387,0.0269452114438293,0.08852459016393442,0.11147540983606558
log-sigma-5-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.012999765336116558,0.21784818146377802,0.026865812140386566,0.3778688524590164,0.22213114754098362
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,0.007587541838791076,0.33903840973973276,0.026822972387181003,0.14016393442622951,0.2598360655737705
wavelet-HHL_firstorder_Minimum,0.010208942858174024,0.17176762901246548,0.026820770918738177,0.09508196721311475,0.10491803278688525
wavelet-HLH_firstorder_Range,0.008127396227364416,0.34695836022496224,0.026215595965052536,0.28442622950819674,0.11557377049180328
log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformity,0.01951526400453381,0.1172360610961914,0.026198460592024807,0.3295081967213115,0.4704918032786885
wavelet-LLH_firstorder_Entropy,0.007787361069193071,0.19329727567732335,0.025808158572706418,0.16557377049180327,0.03442622950819672
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.008206954384421105,0.18392288628965617,0.02578016358069527,0.06147540983606557,0.33852459016393444
lbp-3D-k_glcm_Correlation,0.012123001796254486,0.11818823490291834,0.025496491942825227,0.27049180327868855,0.12950819672131147
logarithm_gldm_DependenceVariance,0.007271787725740161,0.2508450359851122,0.025432904692899553,0.03278688524590164,0.16721311475409836
wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.009589205597878498,0.2607075047492981,0.024969057004829605,0.06311475409836066,0.13688524590163934
log-sigma-1-0-mm-3D_firstorder_Minimum,0.004320050261304036,0.3359035457670689,0.02432114701230963,0.1901639344262295,0.009836065573770493
wavelet-LLH_glcm_JointEnergy,0.00880619655488075,0.1853377478197217,0.024245446231467755,0.24180327868852458,0.1581967213114754
original_shape_Flatness,0.009429119313353312,0.1600150980055332,0.024233560295393666,0.10737704918032787,0.09262295081967213
original_glszm_LowGrayLevelZoneEmphasis,0.00981451913278901,0.20950393185019492,0.024202864326206653,0.19262295081967212,0.20737704918032787
wavelet-LLH_glrlm_RunEntropy,0.008617462656414896,0.17212973788380623,0.023737865424988968,0.07622950819672131,0.12377049180327869
logarithm_ngtdm_Busyness,0.011092622117307344,0.1961308814585209,0.023510919815060895,0.2,0.2
log-sigma-4-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.015066395077472703,0.13176248099654914,0.02350783397573106,0.330327868852459,0.26967213114754096
wavelet-HLL_firstorder_Range,0.00874523293950259,0.19043081432580947,0.02331103757318397,0.2901639344262295,0.10983606557377049
log-sigma-4-0-mm-3D_ngtdm_Strength,0.009466146466520725,0.15758956659585238,0.02301821551932021,0.14508196721311475,0.05491803278688524
wavelet-HHL_firstorder_Mean,0.012166651481808326,0.1254072363488376,0.022964607485363466,0.21639344262295082,0.18360655737704917
log-sigma-1-0-mm-3D_firstorder_Entropy,0.011643490695898411,0.2146385656297207,0.022872840641393125,0.419672131147541,0.18032786885245902
wavelet-HLL_glcm_Idmn,0.00660587048580962,0.25824322003871203,0.02286947238695699,0.15163934426229508,0.04836065573770492
