feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
original_ngtdm_Strength,0.4004871408142623,0.8119056533183903,0.1875477946676921,0.46885245901639344,0.5311475409836065
wavelet-HHH_glcm_Autocorrelation,0.3372334009722004,0.7697037956351415,0.16737225612222936,0.5344262295081967,0.46557377049180326
log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.3153114142897091,1.0574949885555542,0.2019821204163639,0.7213114754098361,0.2786885245901639
log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.2656156807124892,1.2246694702282548,0.2494824611940486,0.7311475409836066,0.26885245901639343
wavelet-HHH_glszm_LargeAreaEmphasis,0.22202230707096268,0.7925749814067967,0.1657462626599408,0.7344262295081967,0.26557377049180325
wavelet-LLH_glcm_ClusterShade,0.2085810856242857,0.5323817696678452,0.13373762756651847,0.5147540983606558,0.4852459016393443
log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.18689551748946875,0.4866825369279832,0.09380380494440409,0.4098360655737705,0.5901639344262295
wavelet-HHL_glszm_ZonePercentage,0.17593039282203696,0.755519339540042,0.1420616749253178,0.8360655737704918,0.16393442622950818
lbp-3D-m1_firstorder_Kurtosis,0.16440376688271274,0.42093921076506374,0.07547902394768728,0.6196721311475409,0.380327868852459
wavelet-LLH_ngtdm_Strength,0.1457450770940259,0.42494297698605804,0.09295897582496138,0.5114754098360655,0.4885245901639344
wavelet-LLH_ngtdm_Busyness,0.1319125433320277,0.6272039114427753,0.11147357722143943,0.7213114754098361,0.2786885245901639
lbp-3D-k_firstorder_RootMeanSquared,0.1171487824044545,0.31471620304044334,0.06469108659130109,0.4426229508196721,0.5573770491803278
lbp-3D-m2_firstorder_Kurtosis,0.09607637314517897,0.43200912985252216,0.09730858090778702,0.839344262295082,0.16065573770491803
wavelet-HLL_gldm_LargeDependenceEmphasis,0.08894976235160483,0.3621076542837545,0.06960418904431487,0.6622950819672131,0.3377049180327869
