feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
original_firstorder_Kurtosis,0.2348580181938745,1.0738176200332563,0.17796394698575013,0.5836065573770491,0.4163934426229508
gradient_firstorder_Minimum,0.22806398547434203,0.36169441236555333,0.07207541536611876,0.6032786885245902,0.39672131147540984
lbp-2D_firstorder_90Percentile,0.21768918887010627,0.302324915541146,0.06816453653124874,0.6065573770491803,0.39344262295081966
log-sigma-2-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.18730366851278477,0.5511910289526171,0.12214799367029583,0.49836065573770494,0.5016393442622951
Sex,0.17658370874963067,0.20516659604439824,0.02496720981236208,0.5672131147540984,0.43278688524590164
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.17388558098083423,0.6271033555908113,0.12830179007100495,0.4918032786885246,0.5081967213114754
wavelet-LLH_glcm_Idmn,0.16254908006682509,0.3907592948364121,0.05108694161002589,0.40327868852459015,0.5967213114754099
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,0.16022361975269947,0.8111635749113094,0.1265312891718291,0.49508196721311476,0.5049180327868853
gradient_glszm_GrayLevelNonUniformityNormalized,0.1583523098135226,0.47791547937254086,0.1086277276098306,0.4163934426229508,0.5836065573770491
exponential_glszm_GrayLevelNonUniformityNormalized,0.15380021354780482,0.3421970491660008,0.09299413053715123,0.4098360655737705,0.5901639344262295
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.1537358532683111,0.48309522991972764,0.12076912794246715,0.4557377049180328,0.5442622950819672
wavelet-HHH_firstorder_Mean,0.1508576551191632,0.7169999038853662,0.13081664358965728,0.46557377049180326,0.5344262295081967
lbp-3D-m1_firstorder_Skewness,0.15006284017865376,0.7470010780449335,0.11839089660677313,0.521311475409836,0.4786885245901639
log-sigma-4-0-mm-3D_glszm_SizeZoneNonUniformity,0.14874361301887387,0.6774529821696976,0.1213181181409829,0.5606557377049181,0.43934426229508194
log-sigma-3-0-mm-3D_glcm_MCC,0.14792315720132218,0.6308868325748377,0.11811643577948681,0.5114754098360655,0.4885245901639344
log-sigma-3-0-mm-3D_glszm_GrayLevelVariance,0.14728557270574108,0.5436025833189232,0.11779051586616726,0.5114754098360655,0.4885245901639344
wavelet-HHL_firstorder_Maximum,0.1464352998029872,0.8438771615126718,0.11951092618422482,0.5737704918032787,0.4262295081967213
log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.14324070332650207,0.25720055831974376,0.051228668290278806,0.4262295081967213,0.5737704918032787
wavelet-HHL_glszm_ZoneEntropy,0.14169436423219997,0.5896710865397502,0.10757519605795499,0.5245901639344263,0.47540983606557374
wavelet-HLH_firstorder_Mean,0.14062801648529397,0.6606180064768712,0.11083653430335735,0.4459016393442623,0.5540983606557377
wavelet-LHH_firstorder_Skewness,0.13684874283082912,0.7211567434558895,0.10906825240856068,0.521311475409836,0.4786885245901639
log-sigma-5-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.13621743835777797,0.895189105239782,0.12129328447527876,0.5409836065573771,0.45901639344262296
wavelet-LHL_firstorder_Minimum,0.13355529114481424,0.5605163610021154,0.09654756623607567,0.5049180327868853,0.49508196721311476
wavelet-HLL_gldm_LargeDependenceEmphasis,0.1330051378109097,0.5993647547461265,0.11575285846992456,0.5311475409836065,0.46885245901639344
wavelet-LLL_glszm_SizeZoneNonUniformity,0.13283522482070417,1.205277090522472,0.11941146803563576,0.5016393442622951,0.49836065573770494
wavelet-HHH_glszm_ZoneEntropy,0.13239514034356809,0.5266274839905967,0.1002892295695237,0.4918032786885246,0.5081967213114754
log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.1309162958591991,0.780264831454519,0.10979123690208281,0.5377049180327869,0.46229508196721314
squareroot_ngtdm_Complexity,0.12467539170759226,0.723959587385515,0.10784745292648387,0.3737704918032787,0.6262295081967213
log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.12424432414091047,0.33166404811754496,0.062152785707778664,0.4163934426229508,0.5836065573770491
wavelet-HHH_glcm_SumSquares,0.12139181948749102,0.9220852673303216,0.111283275583617,0.740983606557377,0.25901639344262295
wavelet-LLH_firstorder_Uniformity,0.11990595591205679,0.8118961820663297,0.11468290857241524,0.5573770491803278,0.4426229508196721
log-sigma-2-0-mm-3D_glcm_MCC,0.1198034895978801,0.620050079812437,0.09916941420430053,0.45901639344262296,0.5409836065573771
wavelet-HHL_firstorder_Range,0.11945401957181917,0.6030232182996422,0.09017188218113696,0.5770491803278689,0.42295081967213116
log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.11740748728907008,0.850279609957804,0.11002204756405592,0.4360655737704918,0.5639344262295082
log-sigma-1-0-mm-3D_firstorder_Minimum,0.11721953232322639,0.7949194159444309,0.09613036461619462,0.3836065573770492,0.6163934426229508
wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.11699453003267687,0.6421542001714385,0.10134037081830873,0.6721311475409836,0.32786885245901637
gradient_ngtdm_Strength,0.11634079913444724,0.475413684439465,0.09521987503091477,0.6131147540983607,0.38688524590163936
log-sigma-1-0-mm-3D_firstorder_Range,0.11492782936839228,0.5452421592295886,0.09134363167087482,0.43278688524590164,0.5672131147540984
lbp-3D-m1_firstorder_10Percentile,0.11362479971324456,0.38711246257452137,0.08649130722386296,0.6327868852459017,0.36721311475409835
wavelet-HHH_glcm_SumEntropy,0.11352767232347177,0.5180202945371708,0.07445889898737539,0.5180327868852459,0.4819672131147541
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.11234698079544438,0.5138235550890249,0.0972015873843908,0.4426229508196721,0.5573770491803278
logarithm_glszm_ZoneEntropy,0.11142902533314197,0.4416962913153285,0.08622774909850502,0.5049180327868853,0.49508196721311476
wavelet-LLH_firstorder_Range,0.11058332260217829,0.4382386968592658,0.08260982472965796,0.5442622950819672,0.4557377049180328
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.11054579633432986,0.376661391117594,0.08080772743496742,0.5278688524590164,0.4721311475409836
wavelet-LHL_firstorder_Skewness,0.11032819609277922,0.6120052284196953,0.09050350587079774,0.4426229508196721,0.5573770491803278
wavelet-LLH_ngtdm_Busyness,0.10982381691775327,0.3370904539644471,0.08047628833529698,0.42950819672131146,0.5704918032786885
wavelet-HHL_glszm_SmallAreaHighGrayLevelEmphasis,0.10925893801563114,0.7029056781799596,0.1076965332167685,0.34098360655737703,0.659016393442623
wavelet-HLL_glcm_InverseVariance,0.10733065037136762,0.5083040749952193,0.08368773600966625,0.5147540983606558,0.4852459016393443
original_glszm_SizeZoneNonUniformityNormalized,0.10641092499202501,0.48700762965313793,0.08130856499063198,0.5606557377049181,0.43934426229508194
y_min,0.10612648184351192,0.46922885556726107,0.08603022235063806,0.5409836065573771,0.45901639344262296
wavelet-HHH_glcm_ClusterProminence,0.10531418707508781,0.35859338710719973,0.06827773128362549,0.5606557377049181,0.43934426229508194
wavelet-HHL_gldm_DependenceEntropy,0.1051904222398514,0.5913580829055105,0.07884905235069314,0.5180327868852459,0.4819672131147541
wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.10461426241555591,0.5811688400571474,0.08652995702876783,0.46229508196721314,0.5377049180327869
log-sigma-4-0-mm-3D_gldm_DependenceVariance,0.10286942637283453,0.42228776770180754,0.08054601450895553,0.5409836065573771,0.45901639344262296
wavelet-LLH_firstorder_Entropy,0.10285188475130731,0.6260344369819956,0.0819314863410702,0.6196721311475409,0.380327868852459
wavelet-HLL_glcm_ClusterShade,0.10189282183521223,0.629190709142803,0.09129652933799397,0.5704918032786885,0.42950819672131146
log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.1014018092261996,0.44619432762015854,0.08233002337029771,0.5147540983606558,0.4852459016393443
wavelet-LLH_firstorder_Skewness,0.10124058625647878,0.4909684410465856,0.0826737499355346,0.4786885245901639,0.521311475409836
wavelet-HLL_glcm_DifferenceAverage,0.10098475213951157,0.6897708568168028,0.08591658876373805,0.5245901639344263,0.47540983606557374
log-sigma-5-0-mm-3D_glszm_SmallAreaEmphasis,0.09842558012734356,0.34006850039940023,0.07400953182479211,0.4557377049180328,0.5442622950819672
wavelet-LHL_firstorder_Mean,0.09836098327780646,0.45726741244901054,0.07232080441319343,0.4557377049180328,0.5442622950819672
wavelet-LHL_firstorder_90Percentile,0.09834874101823601,0.4724516540295334,0.0793042831772327,0.4459016393442623,0.5540983606557377
lbp-2D_firstorder_10Percentile,0.09816511735723198,0.29353294896034937,0.012523572870836788,0.4918032786885246,0.5081967213114754
log-sigma-3-0-mm-3D_glcm_Correlation,0.09743981337553881,0.4498856016057742,0.08129695362234424,0.4721311475409836,0.5278688524590164
wavelet-HHH_glszm_HighGrayLevelZoneEmphasis,0.09732343593453766,0.34219960312018277,0.07286716814295936,0.521311475409836,0.4786885245901639
exponential_glszm_ZoneVariance,0.09694050480243224,0.41146939486501327,0.07833894635466941,0.3836065573770492,0.6163934426229508
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized,0.09591400700492297,0.4773923537938747,0.10106195345715481,0.7081967213114754,0.29180327868852457
