feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
wavelet-HHH_glszm_LargeAreaEmphasis,0.004668862791365754,0.015469581253710203,0.003479577552997159,0.5901639344262295,0.4098360655737705
wavelet-HHH_gldm_SmallDependenceEmphasis,0.005810606754315336,0.016134497420789557,0.0033129082272566513,0.39672131147540984,0.6032786885245902
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.0019179248142958325,0.016319076631634743,0.00325394805629662,0.8163934426229508,0.18360655737704917
wavelet-LHH_gldm_DependenceEntropy,0.003324381802556047,0.013240164509625174,0.0028383925785814192,0.36721311475409835,0.6327868852459017
wavelet-LHH_gldm_SmallDependenceEmphasis,0.0014673591741696656,0.013729694096573439,0.002519019667783803,0.5573770491803278,0.4426229508196721
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.0014238646102767234,0.01558855684932496,0.002516796414158618,0.6295081967213115,0.3704918032786885
wavelet-LHH_glszm_LargeAreaEmphasis,0.0016957593734279958,0.012955629664284062,0.002498869944425762,0.8327868852459016,0.16721311475409836
wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.001568867568449515,0.012404021619149717,0.0024462754412411334,0.7213114754098361,0.2786885245901639
log-sigma-2-0-mm-3D_gldm_SmallDependenceEmphasis,0.0038015618427734038,0.012784598573416588,0.0022080970819444296,0.5836065573770491,0.4163934426229508
wavelet-HHH_glszm_ZonePercentage,0.0028187489707752755,0.009335537466104143,0.0021378172222500827,0.6098360655737705,0.3901639344262295
lbp-2D_gldm_DependenceVariance,0.003182671417100301,0.010425836045696997,0.002121586503936755,0.3475409836065574,0.6524590163934426
log-sigma-5-0-mm-3D_glrlm_ShortRunEmphasis,0.0034944576366518778,0.010633175249313353,0.0021153825185204925,0.38688524590163936,0.6131147540983607
original_gldm_SmallDependenceEmphasis,0.002761883862448084,0.011194614655396435,0.002027888621340666,0.42950819672131146,0.5704918032786885
exponential_glrlm_ShortRunLowGrayLevelEmphasis,0.004159634565091968,0.009819196409625874,0.0020216629445611056,0.4131147540983607,0.5868852459016394
lbp-3D-m1_firstorder_Kurtosis,0.0035879204625623553,0.008496754595107632,0.0018156117027958538,0.6032786885245902,0.39672131147540984
lbp-3D-k_firstorder_RootMeanSquared,0.004017263185343571,0.010129930469975078,0.0017849357358286236,0.4721311475409836,0.5278688524590164
original_glszm_LargeAreaEmphasis,0.0030710584091895856,0.008805495079432148,0.0016286730526652153,0.4262295081967213,0.5737704918032787
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.0026666805191377456,0.008079656008267194,0.0016078287404631807,0.6196721311475409,0.380327868852459
log-sigma-5-0-mm-3D_glrlm_RunEntropy,0.0014525241668997308,0.007866370578458372,0.001577005853360135,0.36721311475409835,0.6327868852459017
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.0015481636303966188,0.00911326032949546,0.0015304824331069747,0.380327868852459,0.6196721311475409
wavelet-LLL_gldm_SmallDependenceEmphasis,0.0023127934270627307,0.006633224935285398,0.0015062506339379735,0.42950819672131146,0.5704918032786885
wavelet-HLH_gldm_SmallDependenceEmphasis,0.0017115035981401497,0.006911957239390176,0.0015011897436839482,0.43934426229508194,0.5606557377049181
lbp-2D_firstorder_Kurtosis,0.0029632570143392684,0.0074226852949141175,0.0014706451963371473,0.5540983606557377,0.4459016393442623
wavelet-LLL_gldm_GrayLevelNonUniformity,0.0026278039366031303,0.007382422622649756,0.0014567516640163723,0.6065573770491803,0.39344262295081966
original_gldm_GrayLevelNonUniformity,0.001381141892661796,0.007562871069530956,0.0014261359462086308,0.26557377049180325,0.7344262295081967
log-sigma-3-0-mm-3D_glszm_LargeAreaEmphasis,0.0022292838787141634,0.007115994918931392,0.0014221399106768306,0.5278688524590164,0.4721311475409836
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0022085850259038527,0.008141581998061156,0.001405354235131933,0.43934426229508194,0.5606557377049181
original_shape_SurfaceVolumeRatio,0.0027433563717551455,0.007120005623837642,0.0013946235313977578,0.580327868852459,0.419672131147541
