feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,0.17606115241576228,1.2176530352979897,0.2939968743487007,0.12786885245901639,0.8721311475409836
log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.07942475772954384,0.2569062342122197,0.06829763781610587,0.16393442622950818,0.8360655737704918
wavelet-LHH_firstorder_Kurtosis,0.04457089799801344,0.2401117581501603,0.0639137186948714,0.10163934426229508,0.898360655737705
log-sigma-3-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.15389610974930343,0.2774289260804653,0.054591085210026966,0.4163934426229508,0.5836065573770491
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,0.19615830100535325,0.3298024015128613,0.053204488502478296,0.4131147540983607,0.5868852459016394
log-sigma-1-0-mm-3D_glcm_MaximumProbability,0.1307929398551827,0.2402764840424061,0.04337702182120266,0.3704918032786885,0.6295081967213115
log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.05796195349072847,0.15485682278871538,0.03979965613611989,0.17049180327868851,0.8295081967213115
log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.0714166665930973,0.14687228668481112,0.03707419504853304,0.3704918032786885,0.6295081967213115
log-sigma-5-0-mm-3D_glszm_ZonePercentage,0.08331209765228112,0.138206160441041,0.036357910693511436,0.30491803278688523,0.6950819672131148
wavelet-LHL_glcm_Autocorrelation,0.08861368274029169,0.13978843607008457,0.03416084639235995,0.32459016393442625,0.6754098360655738
logarithm_glszm_SizeZoneNonUniformityNormalized,0.09000400211613188,0.13477759178727866,0.03299702229080284,0.40327868852459015,0.5967213114754099
wavelet-HLH_glcm_DifferenceEntropy,0.02288800834571243,0.12485765181481838,0.0265845514980857,0.14754098360655737,0.8524590163934426
log-sigma-5-0-mm-3D_glszm_ZoneVariance,0.020388772991104108,0.07280387781560421,0.023508946453651133,0.16721311475409836,0.8327868852459016
log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,0.020732393446027206,0.07527111560106277,0.0233228121683378,0.1901639344262295,0.8098360655737705
original_glszm_SmallAreaHighGrayLevelEmphasis,0.022825832511557936,0.07113338813185692,0.022681762218844957,0.18688524590163935,0.8131147540983606
wavelet-LLH_glrlm_RunVariance,0.036875714225602846,0.06813160017132759,0.020527743127294114,0.5245901639344263,0.47540983606557374
log-sigma-5-0-mm-3D_glszm_LargeAreaEmphasis,0.016823261616659906,0.07450381934642791,0.020355374505939806,0.12459016393442623,0.8754098360655738
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.020437601825619288,0.05842475920915604,0.01896049020705522,0.20327868852459016,0.7967213114754098
original_glszm_SizeZoneNonUniformity,0.023805617451667843,0.061409395337104794,0.018801888942718527,0.2,0.8
original_glszm_SizeZoneNonUniformityNormalized,0.02634144070121603,0.05986412614583969,0.01776018431384497,0.25573770491803277,0.7442622950819672
log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.01045937633129658,0.06463280465453863,0.017333416707469834,0.09508196721311475,0.9049180327868852
wavelet-HHH_firstorder_10Percentile,0.01519961481211617,0.05689030408859253,0.016357336226356572,0.14098360655737704,0.8590163934426229
original_shape_SurfaceVolumeRatio,0.012423742661954968,0.06524290647357703,0.01630807433609262,0.10163934426229508,0.898360655737705
wavelet-HHL_glcm_Idmn,0.007544720386628245,0.06703415606170893,0.016030541074171744,0.07540983606557378,0.9245901639344263
wavelet-LHL_glcm_Imc1,0.009755068034788678,0.06308727998286486,0.015939808358635826,0.09508196721311475,0.9049180327868852
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.007039238933473806,0.07496527127921582,0.015674593970716483,0.06229508196721312,0.9377049180327869
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.019630874518366162,0.05811838041990995,0.015330437152508546,0.34098360655737703,0.659016393442623
wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.020375556552629973,0.05116545785218477,0.015095185972623786,0.3836065573770492,0.6163934426229508
