iter	Passed	Remaining
0	5871	2342809
1	6398	1273363
2	6757	894249
3	7123	705209
4	7473	590393
5	7794	511852
6	8133	456642
7	8455	414322
8	8835	383842
9	9198	358759
10	9553	337848
11	9846	318379
12	10197	303577
13	10575	291577
14	10893	279608
15	11225	269412
16	11534	259870
17	11912	252818
18	12255	245755
19	12568	238806
20	12947	233670
21	13310	228698
22	13683	224292
23	14038	219929
24	14403	216057
25	14742	212058
26	15106	208689
27	15413	204775
28	15769	201734
29	16095	198511
30	16463	195964
31	16838	193647
32	17174	190995
33	17503	188416
34	17799	185625
35	18086	182879
36	18384	180362
37	18725	178386
38	19013	175998
39	19360	174244
40	19723	172700
41	20040	170825
42	20340	168871
43	20683	167347
44	20998	165652
45	21333	164172
46	21607	162284
47	21872	160399
48	22105	158346
49	22379	156655
50	22613	154746
51	22870	153055
52	23133	151457
53	23450	150259
54	23766	149081
55	24104	148070
56	24395	146799
57	24625	145207
58	24980	144380
59	25266	143174
60	25549	141987
61	25862	140992
62	26134	139800
63	26346	138316
64	26700	137608
65	26991	136593
66	27309	135733
67	27624	134872
68	27895	133816
69	28220	133040
70	28509	132105
71	29421	134029
72	30146	135038
73	30725	135359
74	31395	136048
75	32010	136466
76	32491	136296
77	32934	135958
78	33544	136302
79	34137	136548
80	34702	136669
81	35158	136347
82	35958	137334
83	36444	137098
84	37030	137229
85	37591	137252
86	38200	137434
87	38792	137537
88	39426	137770
89	39894	137413
90	40365	137063
91	40763	136470
92	41361	136537
93	41889	136365
94	42362	136005
95	42907	135872
96	43484	135831
97	43982	135536
98	44592	135577
99	45045	135136
100	45569	134905
101	46028	134476
102	46558	134251
103	47039	133881
104	47627	133810
105	48186	133650
106	48643	133202
107	49164	132925
108	49662	132584
109	50177	132287
110	50753	132141
111	51257	131804
112	51810	131588
113	52285	131173
114	52986	131314
115	53468	130905
116	53964	130529
117	54550	130366
118	55212	130375
119	55671	129900
120	56138	129444
121	56786	129399
122	57223	128868
123	57729	128495
124	58319	128303
125	58819	127908
126	59519	127942
127	60319	128178
128	60786	127699
129	61451	127630
130	61921	127151
131	62421	126734
132	63057	126588
133	63796	126640
134	64221	126064
135	64729	125650
136	65328	125411
137	65905	125125
138	66459	124790
139	66861	124170
140	67330	123677
141	68492	124444
142	69209	124383
143	69827	124137
144	70356	123729
145	71065	123634
146	71627	123277
147	72191	122920
148	72752	122556
149	73194	121991
150	73781	121665
151	74278	121190
152	75017	121106
153	75667	120871
154	76154	120373
155	76689	119950
156	77207	119498
157	77661	118949
158	78266	118629
159	78776	118164
160	79341	117780
161	79779	117207
162	80289	116740
163	80931	116462
164	81565	116168
165	82211	115888
166	82774	115487
167	83328	115073
168	83922	114710
169	84493	114314
170	84981	113805
171	85497	113334
172	86019	112869
173	86558	112426
174	87123	112015
175	87579	111464
176	88209	111133
177	88690	110613
178	89188	110115
179	89692	109623
180	90268	109220
181	90741	108690
182	91337	108307
183	91823	107792
184	92250	107210
185	92810	106782
186	93363	106343
187	93754	105723
188	94344	105326
189	94783	104761
190	95237	104212
191	95673	103645
192	96241	103222
193	96739	102723
194	97380	102374
195	97907	101903
196	98355	101351
197	98881	100878
198	99381	100379
199	99771	99771
200	100304	99306
201	100714	98720
202	101219	98228
203	101676	97688
204	102196	97210
205	102670	96689
206	103180	96202
207	103806	95821
208	104354	95367
209	104831	94847
210	105497	94497
211	105941	93948
212	106409	93420
213	107017	93015
214	107857	92807
215	108434	92370
216	108947	91877
217	109508	91424
218	109949	90871
219	110446	90364
220	110977	89886
221	111438	89351
222	111971	88873
223	112392	88308
224	112826	87753
225	113395	87304
226	113899	86804
227	114422	86318
228	114979	85858
229	115573	85423
230	116101	84939
231	116658	84476
232	117105	83933
233	117602	83427
234	118125	82939
235	118623	82433
236	119104	81915
237	119480	81327
238	120024	80853
239	120549	80366
240	120995	79827
241	121469	79306
242	121939	78783
243	122503	78321
244	122988	77808
245	123423	77265
246	123967	76789
247	124384	76235
248	124841	75707
249	125279	75167
250	125759	74653
251	126325	74191
252	126903	73734
253	127361	73207
254	127910	72733
255	128432	72243
256	128914	71730
257	129314	71172
258	129741	70631
259	130191	70103
260	130695	69603
261	131257	69135
262	131825	68669
263	132267	68137
264	132752	67628
265	133159	67080
266	133716	66607
267	134096	66047
268	134516	65508
269	134954	64978
270	135383	64444
271	136046	64021
272	137158	63806
273	137722	63332
274	138174	62806
275	138671	62301
276	139090	61762
277	139514	61225
278	139997	60715
279	140489	60209
280	140990	59707
281	141433	59181
282	142058	58730
283	142531	58217
284	142983	57695
285	143527	57210
286	144016	56703
287	144593	56230
288	145070	55718
289	145547	55207
290	146076	54716
291	146611	54226
292	147144	53735
293	147504	53181
294	148018	52684
295	148622	52218
296	149111	51712
297	149558	51191
298	150068	50692
299	150764	50254
300	151303	49764
301	151850	49275
302	152351	48772
303	152871	48275
304	153404	47781
305	153811	47249
306	154286	46738
307	154698	46208
308	155111	45680
309	155669	45194
310	156184	44695
311	156722	44203
312	157104	43667
313	157771	43211
314	158290	42713
315	158789	42209
316	159324	41716
317	159806	41208
318	160380	40723
319	160896	40224
320	161480	39741
321	161988	39239
322	162648	38773
323	163259	38295
324	163753	37789
325	164295	37294
326	164748	36778
327	165267	36278
328	165783	35776
329	166361	35288
330	167297	34874
331	167803	34369
332	168262	33854
333	168813	33358
334	169425	32873
335	169888	32359
336	170415	31858
337	170925	31353
338	171435	30848
339	171928	30340
340	172347	29819
341	172794	29304
342	173223	28786
343	173673	28272
344	174080	27752
345	174510	27235
346	174962	26723
347	175437	26214
348	175991	25717
349	176445	25206
350	176887	24693
351	177318	24179
352	177788	23671
353	178283	23166
354	178692	22651
355	179264	22156
356	179795	21656
357	180321	21155
358	181048	20676
359	181509	20167
360	181881	19649
361	182511	19158
362	183012	18654
363	183556	18153
364	184095	17653
365	184704	17158
366	185274	16659
367	185893	16164
368	186429	15662
369	187012	15163
370	187547	14660
371	187922	14144
372	188522	13646
373	189075	13144
374	189567	12637
375	190056	12131
376	190505	11622
377	190939	11112
378	191484	10609
379	191975	10103
380	192741	9611
381	193676	9126
382	194380	8627
383	194856	8119
384	195346	7610
385	195776	7100
386	196345	6595
387	196860	6088
388	197431	5582
389	197926	5075
390	198425	4567
391	198947	4060
392	199333	3550
393	199873	3043
394	200431	2537
395	200875	2029
396	201282	1521
397	201690	1013
398	202134	506
399	202573	0
